Address,Lot,AM or PM,Browser Info,Company,Credit Card,CC Exp Date,CC Security Code,CC Provider,Email,Job,IP Address,Language,Purchase Price
Address,Lot,AM,Browser Info,Company,541507790259.0,12/25,945.0,Visa,email@example.com,Engineer,192.168.1.1,English,696.5163326865656
Address,Lot,AM,Browser Info,Company,495924837646.0,12/25,401.0,Visa,email@example.com,Engineer,192.168.1.1,English,189.9301068622027
Address,Lot,AM,Browser Info,Company,558615280711.0,12/25,393.0,Visa,email@example.com,Engineer,192.168.1.1,English,107.03527755801755
Address,Lot,AM,Browser Info,Company,910017303572.0,,628.0,Visa,email@example.com,Engineer,192.168.1.1,English,759.5892221502927
,Lot,AM,Browser Info,Company,540001501305.0,12/25,933.0,Visa,email@example.com,Engineer,192.168.1.1,English,890.5120559305491
Address,Lot,AM,Browser Info,Company,419800038858.0,12/25,391.0,Visa,email@example.com,Engineer,192.168.1.1,English,719.5428083311072
Address,Lot,AM,,,475095422324.0,12/25,173.0,Visa,email@example.com,Engineer,192.168.1.1,English,807.5177182866058
Address,Lot,AM,Browser Info,Company,525815370599.0,12/25,874.0,Visa,,Engineer,,English,991.1772735703996
Address,Lot,AM,Browser Info,,751335606402.0,12/25,583.0,Visa,email@example.com,Engineer,192.168.1.1,English,143.40835229261768
Address,Lot,AM,Browser Info,Company,740192412980.0,12/25,115.0,Visa,email@example.com,Engineer,192.168.1.1,English,965.501026908708
Address,,AM,Browser Info,Company,107395928407.0,12/25,625.0,Visa,email@example.com,Engineer,192.168.1.1,English,605.1858274352014
Address,Lot,AM,Browser Info,Company,258917134721.0,12/25,,Visa,email@example.com,Engineer,192.168.1.1,English,815.1206257715703
Address,Lot,AM,Browser Info,Company,924600269755.0,12/25,892.0,Visa,email@example.com,Engineer,192.168.1.1,English,653.6674897717933
Address,Lot,AM,Browser Info,Company,188551408800.0,12/25,972.0,,email@example.com,Engineer,192.168.1.1,English,574.3374108974957
Address,Lot,AM,Browser Info,Company,974505391417.0,12/25,615.0,Visa,email@example.com,Engineer,192.168.1.1,English,706.582804081471
Address,Lot,AM,Browser Info,Company,190224662780.0,12/25,226.0,Visa,email@example.com,Engineer,192.168.1.1,English,327.056077867853
Address,Lot,AM,Browser Info,Company,308412320218.0,12/25,923.0,Visa,email@example.com,Engineer,192.168.1.1,English,925.0288082569936
Address,Lot,,Browser Info,Company,350825492990.0,12/25,617.0,Visa,email@example.com,Engineer,192.168.1.1,,124.13964633522092
Address,Lot,AM,Browser Info,Company,826049900543.0,12/25,228.0,Visa,email@example.com,Engineer,192.168.1.1,English,324.85087224559754
Address,,AM,Browser Info,Company,990057975566.0,12/25,610.0,Visa,email@example.com,Engineer,192.168.1.1,English,40.85072966849828
Address,Lot,AM,Browser Info,Company,912137970621.0,12/25,522.0,Visa,email@example.com,Engineer,192.168.1.1,English,278.6098171696308
Address,Lot,AM,Browser Info,,849980257213.0,12/25,484.0,Visa,email@example.com,Engineer,,English,226.03094636999032
Address,Lot,AM,Browser Info,Company,316391026539.0,12/25,982.0,Visa,email@example.com,,192.168.1.1,English,59.134552071844894
Address,Lot,AM,,Company,336151178483.0,12/25,0.0,Visa,email@example.com,Engineer,,English,496.8563232101359
Address,Lot,AM,Browser Info,Company,372587671032.0,12/25,924.0,Visa,email@example.com,Engineer,192.168.1.1,English,473.9496814370537
,Lot,AM,Browser Info,Company,662039164388.0,12/25,294.0,Visa,email@example.com,,192.168.1.1,English,86.9679894596822
